Category,Product Name,Botanical Name / Source,Active Ingredient,Primary Application
Amino Acids,L-Cystine,Fermentation,L-Cystine,"Protein Synthesis, Detoxification"
Amino Acids,L-Glutamic Acid,Fermentation,L-Glutamic Acid,Neurotransmitter Support
Amino Acids,L-Theanine,Camellia sinensis,L-Theanine,"Relaxation, Cognitive Clarity"
Amino Acids,L-Threonine,Fermentation,L-Threonine,"Protein Synthesis, Gut Health"
Amino Acids,L-Tryptophan,Fermentation,L-Tryptophan,"Serotonin Precursor, Sleep Support"
Amino Acids,L-Tyrosine,Fermentation,L-Tyrosine,"Dopamine Precursor, Mood Balance"
Amino Acids,L-Valine,Fermentation,L-Valine,"Muscle Repair, Energy"
Amino Acids,L-Arginine HCL / AKG,Fermentation,L-Arginine,"Nitric Oxide Booster, Circulation"
Amino Acids,L-Arginine L-Aspartate,Fermentation,Arginine + Aspartic Acid,"Endurance, Detoxification"
Amino Acids,L-Leucine,Fermentation,L-Leucine,Muscle Protein Synthesis
Amino Acids,L-Lysine (Mono / Acetate / Aspartate),Fermentation,L-Lysine,"Collagen Support, Immunity"
Amino Acids,L-Malic Acid,Natural Source,Malic Acid,"Energy Production, Detoxification"
Amino Acids,L-Methionine / DL-Methionine,Fermentation / Synthetic,Methionine,"Liver Health, Antioxidant"
Amino Acids,L-Methyl Folate Calcium,Synthetic,L-5-MTHF,"Methylation, Mood & Neural Support"
Amino Acids,L-Ornithine (HCL / Aspartate),Fermentation,L-Ornithine,"Detoxification, Liver Health"
Amino Acids,L-Phenylalanine,Fermentation,L-Phenylalanine,"Mood Support, Neurotransmitter Precursor"
Amino Acids,L-Proline,Fermentation,L-Proline,"Collagen Formation, Skin Health"
Amino Acids,L-Serine,Fermentation,L-Serine,"Brain Function, Immune Support"
Amino Acids,L-Taurine,Synthetic,Taurine,Cardiovascular & Eye Health
Amino Acids,L-Citrulline DL-Malate,Fermentation,Citrulline + Malic Acid,"Endurance, Muscle Recovery"
Amino Acids,L-Glutathione Reduced,Fermentation,Glutathione,"Antioxidant, Detox"
Nutraceuticals,Alpha Lipoic Acid,Synthetic,Alpha Lipoic Acid,"Antioxidant, Nerve Health"
Nutraceuticals,Arbutin,Bearberry (Arctostaphylos uva-ursi),Arbutin,"Skin Brightening, Pigmentation Control"
Nutraceuticals,Astaxanthin 10%,Haematococcus pluvialis,Astaxanthin,"Eye Health, Anti-aging"
Nutraceuticals,Barley Grass Powder,Hordeum vulgare,"Chlorophyll, Vitamins","Detoxification, Alkalizing Agent"
Nutraceuticals,Beta Carotene (10% / 30%),Daucus carota / Dunaliella salina,Beta Carotene,"Eye Health, Antioxidant"
Nutraceuticals,Bovine Colostrum,Bovine Milk,"Immunoglobulins, Growth Factors","Immunity, Gut Health"
Nutraceuticals,Calcitriol,Synthetic,Active Vitamin D3,"Bone Health, Calcium Absorption"
Nutraceuticals,Coenzyme Q10 (Ubiquinone),Fermentation,CoQ10,"Heart Health, Energy Production"
Nutraceuticals,Collagen Peptide (Bovine),Bovine Source,Type I & III Collagen,"Skin, Joint & Hair Health"
Nutraceuticals,Collagen Peptide (Marine),Marine Source,Type I Collagen,"Skin Elasticity, Anti-aging"
Nutraceuticals,Conjugated Linoleic Acid,Safflower Oil,CLA,"Fat Metabolism, Weight Management"
Nutraceuticals,D-Biotin,Synthetic,Biotin,"Hair, Skin & Nail Health"
Nutraceuticals,D-Chiro Inositol,Synthetic,DCI,"PCOS Support, Insulin Sensitivity"
Nutraceuticals,DHA Veg (10% / 40%),Algal Source,Docosahexaenoic Acid,Brain & Eye Development
Nutraceuticals,Folic Acid,Synthetic,Vitamin B9,"Prenatal Health, Cell Division"
Nutraceuticals,Glutathione Reduced,Fermentation,Glutathione,"Antioxidant, Skin Brightening"
Nutraceuticals,Grape Seed Extract,Vitis vinifera,Proanthocyanidins,"Antioxidant, Cardiovascular Support"
Nutraceuticals,Inositol,Synthetic,Inositol,"Mood Balance, Hormonal Health"
Nutraceuticals,Lutein (10% / 20% / 40%),Tagetes erecta,Lutein,"Eye Health, Blue Light Protection"
Nutraceuticals,Lycopene (10% Powder / Liquid),Solanum lycopersicum,Lycopene,"Prostate Health, Antioxidant"
Nutraceuticals,Marine Collagen,Fish Source,Type I Collagen,"Skin, Hair & Joint Support"
Nutraceuticals,Methyl Folate Calcium,Synthetic,L-5-MTHF,"Methylation, Mood & Neural Support"
Nutraceuticals,Methyl Sulfonyl Methane (MSM),Synthetic,MSM,"Joint Health, Anti-inflammatory"
Nutraceuticals,Myo-Inositol,Synthetic,Myo-Inositol,"Fertility, PCOS Support"
Nutraceuticals,Nano Curcumin,Curcuma longa,Curcuminoids (Nanoform),"Enhanced Bioavailability, Inflammation Support"
Nutraceuticals,Omega-3 Fatty Acids (EPA/DHA),Fish / Algal Source,EPA:DHA (various ratios),"Heart, Brain & Joint Health"
Nutraceuticals,Pancreatin,Porcine Source,Digestive Enzymes,Digestive Support
Nutraceuticals,Pea Protein,Pisum sativum,Plant Protein,"Muscle Growth, Vegan Nutrition"
Nutraceuticals,Phytosterols,Plant Oils,Beta-Sitosterol & Others,Cholesterol Management
Nutraceuticals,Raspberry Ketones 98%,Rubus idaeus,Raspberry Ketone,"Weight Management, Metabolism Booster"
Nutraceuticals,Resveratrol (50% / 98%),Polygonum cuspidatum / Vitis vinifera,Resveratrol,"Anti-aging, Cardiovascular Support"
Nutraceuticals,S-Adenosyl L-Methionine (SAMe),Synthetic,SAMe,"Mood Support, Liver Health"
Nutraceuticals,Sodium Hyaluronate,Fermentation,Hyaluronic Acid,"Joint Lubrication, Skin Hydration"
Nutraceuticals,Soya Lecithin Powder,Glycine max,Phospholipids,"Brain Health, Emulsifier"
Nutraceuticals,Spirulina Powder,Arthrospira platensis,"Phycocyanin, Protein","Detox, Energy, Antioxidant"
Nutraceuticals,Tetrahydrocurcumin,Curcuma longa,Tetrahydrocurcumin,"Skin Brightening, Anti-inflammatory"
Nutraceuticals,Ubiquinol Acetate,Fermentation,Ubiquinol,"Antioxidant, Cellular Energy"
Nutraceuticals,Wheat Grass Powder,Triticum aestivum,"Chlorophyll, Vitamins","Detox, Alkalizing, Energy"
Nutraceuticals,Whey Protein (80% / 90%),Dairy Source,Whey Protein Concentrate/Isolate,"Muscle Building, Recovery"
Nutraceuticals,Zeaxanthin 5%,Tagetes erecta,Zeaxanthin,"Eye Health, Macular Support"
